registry,nir,cc,economy_name,type,resource,start,value,delegation_date,transfer_date,opaque_id,holder_name
apnic,vnnic,VN,Viet Nam,asn,AS154712,154712,1,2026-06-10,,A92DDB79,ONEHUB COMPANY LIMITED
apnic,vnnic,VN,Viet Nam,ipv6,2001:df7:1740::/48,2001:df7:1740::,48,2026-06-09,,A926AC09,Fibo Connect Joint Stock Company
apnic,vnnic,VN,Viet Nam,asn,AS154706,154706,1,2026-06-08,,A926AC09,Fibo Connect Joint Stock Company
apnic,vnnic,VN,Viet Nam,ipv4,162.4.200.0/23,162.4.200.0,512,2026-06-01,,A92DDB79,ONEHUB COMPANY LIMITED
apnic,vnnic,VN,Viet Nam,ipv6,2402:60a0::/32,2402:60a0::,32,2026-06-01,,A92DDB79,ONEHUB COMPANY LIMITED
apnic,vnnic,VN,Viet Nam,asn,AS132206,132206,1,2026-05-29,,A9212352,DC DIGITAL DATA HUB COMPANY LIMITED
apnic,vnnic,VN,Viet Nam,asn,AS154697,154697,1,2026-05-25,,A92547B8,Hasaki Vietnam Joint Stock Company
apnic,vnnic,VN,Viet Nam,asn,AS154698,154698,1,2026-05-25,,A925BB49,Perfin Entertainment and Technology Joint Stock Company
apnic,vnnic,VN,Viet Nam,asn,AS154699,154699,1,2026-05-25,,A9273C68,Unica Solutions Joint Stock Company
apnic,vnnic,VN,Viet Nam,ipv4,162.4.176.0/23,162.4.176.0,512,2026-05-24,,A9273C68,Unica Solutions Joint Stock Company
apnic,vnnic,VN,Viet Nam,ipv6,2001:df7:1040::/48,2001:df7:1040::,48,2026-05-24,,A9273C68,Unica Solutions Joint Stock Company
apnic,vnnic,VN,Viet Nam,ipv4,162.4.160.0/23,162.4.160.0,512,2026-05-21,,A925BB49,Perfin Entertainment and Technology Joint Stock Company
apnic,vnnic,VN,Viet Nam,ipv6,2001:df7:dc0::/48,2001:df7:dc0::,48,2026-05-21,,A925BB49,Perfin Entertainment and Technology Joint Stock Company
apnic,vnnic,VN,Viet Nam,ipv4,162.4.138.0/23,162.4.138.0,512,2026-05-19,,A92547B8,Hasaki Vietnam Joint Stock Company
apnic,vnnic,VN,Viet Nam,ipv6,2001:df7:b40::/48,2001:df7:b40::,48,2026-05-19,,A92547B8,Hasaki Vietnam Joint Stock Company
ripencc,,VN,Viet Nam,asn,AS215664,215664,1,2026-05-18,,85350b83-276c-47af-b188-c237396789a2,Nguyen Doan Hung
apnic,vnnic,VN,Viet Nam,ipv4,162.4.8.0/23,162.4.8.0,512,2026-04-21,,A9227EB9,Vietnam Internet Network Information Center (VNNIC)
apnic,vnnic,VN,Viet Nam,ipv6,2001:df6:f540::/48,2001:df6:f540::,48,2026-04-21,,A9227EB9,Vietnam Internet Network Information Center (VNNIC)
ripencc,,VN,Viet Nam,asn,AS199890,199890,1,2026-03-19,,6cc19644-680c-43b9-923c-1ae6635b3165,Nguyen Quang Minh
apnic,vnnic,VN,Viet Nam,ipv4,163.128.60.0/23,163.128.60.0,512,2026-03-16,,A92C0EBB,XYLENTIS COMPANY LIMITED
apnic,vnnic,VN,Viet Nam,ipv6,2001:df6:d440::/48,2001:df6:d440::,48,2026-03-16,,A92C0EBB,XYLENTIS COMPANY LIMITED
apnic,vnnic,VN,Viet Nam,asn,AS154552,154552,1,2026-03-16,,A92C0EBB,XYLENTIS COMPANY LIMITED
apnic,vnnic,VN,Viet Nam,asn,AS133047,133047,1,2026-03-13,,A92571F8,P9 TECHNOLOGY COMPANY LIMITED
apnic,vnnic,VN,Viet Nam,asn,AS154546,154546,1,2026-03-13,,A92B0A8D,SAO VIET NETWORK SOLUTIONS COMPANY LIMITED
apnic,vnnic,VN,Viet Nam,ipv4,163.128.42.0/23,163.128.42.0,512,2026-03-11,,A92B0A8D,SAO VIET NETWORK SOLUTIONS COMPANY LIMITED
apnic,vnnic,VN,Viet Nam,ipv6,2001:df6:cfc0::/48,2001:df6:cfc0::,48,2026-03-11,,A92B0A8D,SAO VIET NETWORK SOLUTIONS COMPANY LIMITED
apnic,vnnic,VN,Viet Nam,ipv4,163.128.36.0/23,163.128.36.0,512,2026-03-10,,A92571F8,P9 TECHNOLOGY COMPANY LIMITED
apnic,vnnic,VN,Viet Nam,ipv6,2001:df6:ce40::/48,2001:df6:ce40::,48,2026-03-10,,A92571F8,P9 TECHNOLOGY COMPANY LIMITED
apnic,vnnic,VN,Viet Nam,asn,AS142055,142055,1,2026-03-05,,A92BF92A,86th Command - Ministry of National Defence
apnic,vnnic,VN,Viet Nam,asn,AS154491,154491,1,2026-02-09,,A92C3B8F,NETCORE COMPANY LIMITED
apnic,vnnic,VN,Viet Nam,asn,AS150344,150344,1,2026-02-04,,A92F3366,FPT Wallet Company Limited
apnic,vnnic,VN,Viet Nam,ipv4,151.158.130.0/23,151.158.130.0,512,2026-02-03,,A92C3B8F,NETCORE COMPANY LIMITED
apnic,vnnic,VN,Viet Nam,ipv6,2001:df6:ab40::/48,2001:df6:ab40::,48,2026-02-03,,A92C3B8F,NETCORE COMPANY LIMITED
apnic,vnnic,VN,Viet Nam,ipv4,151.158.126.0/23,151.158.126.0,512,2026-02-02,,A92F3366,FPT Wallet Company Limited
apnic,vnnic,VN,Viet Nam,ipv6,2001:df6:aac0::/48,2001:df6:aac0::,48,2026-02-02,,A92F3366,FPT Wallet Company Limited
apnic,vnnic,VN,Viet Nam,asn,AS142260,142260,1,2026-02-02,,A92AF020,"Skydome Technology Co., Ltd."
apnic,vnnic,VN,Viet Nam,ipv4,151.158.108.0/23,151.158.108.0,512,2026-01-30,,A928FA10,Vietnam Internet Network Information Center (VNNIC)
apnic,vnnic,VN,Viet Nam,ipv6,2001:df6:a840::/48,2001:df6:a840::,48,2026-01-30,,A928FA10,Vietnam Internet Network Information Center (VNNIC)
apnic,vnnic,VN,Viet Nam,ipv4,151.158.102.0/23,151.158.102.0,512,2026-01-29,,A92AF020,"Skydome Technology Co., Ltd."
apnic,vnnic,VN,Viet Nam,ipv6,2001:df6:a540::/48,2001:df6:a540::,48,2026-01-29,,A92AF020,"Skydome Technology Co., Ltd."
apnic,vnnic,VN,Viet Nam,ipv4,151.158.94.0/23,151.158.94.0,512,2026-01-28,,A92BF92A,86th Command - Ministry of National Defence
